ENLIGHTEN Version,2.1.14
819.13,1201.00
819.41,1175.00
819.69,1205.00
819.97,1266.00
820.25,1258.00
820.53,1289.00
820.81,1253.00
821.09,1266.00
821.37,1254.00
821.65,1232.00
821.93,1213.00
822.21,1154.00
822.49,1085.00
822.77,1110.00
823.05,1173.00
823.33,1213.00
823.62,1249.00
823.90,1243.00
824.18,1275.00
824.46,1296.00
824.74,1287.00
825.02,1279.00
825.30,1251.00
825.58,1254.00
825.86,1277.00
826.14,1289.00
826.42,1287.00
826.70,1262.00
826.98,1243.00
827.26,1232.00
827.55,1216.00
827.83,1237.00
828.11,1260.00
828.39,1234.00
828.67,1226.00
828.95,1241.00
829.23,1251.00
829.51,1251.00
829.79,1245.00
830.07,1239.00
830.35,1268.00
830.64,1283.00
830.92,1279.00
831.20,1258.00
831.48,1243.00
831.76,1235.00
832.04,1268.00
832.32,1287.00
832.60,1273.00
832.88,1258.00
833.16,1243.00
833.45,1260.00
833.73,1279.00
834.01,1281.00
834.29,1287.00
834.57,1275.00
834.85,1308.00
835.13,1304.00
835.41,1285.00
835.70,1302.00
835.98,1308.00
836.26,1304.00
836.54,1323.00
836.82,1336.00
837.10,1325.00
837.38,1294.00
837.66,1311.00
837.95,1328.00
838.23,1298.00
838.51,1304.00
838.79,1313.00
839.07,1334.00
839.35,1323.00
839.63,1328.00
839.91,1325.00
840.20,1342.00
840.48,1328.00
840.76,1342.00
841.04,1336.00
841.32,1346.00
841.60,1325.00
841.88,1346.00
842.17,1359.00
842.45,1325.00
842.73,1321.00
843.01,1334.00
843.29,1313.00
843.57,1330.00
843.85,1328.00
844.14,1330.00
844.42,1330.00
844.70,1346.00
844.98,1346.00
845.26,1357.00
845.54,1357.00
845.82,1328.00
846.11,1353.00
846.39,1327.00
846.67,1353.00
846.95,1353.00
847.23,1374.00
847.51,1338.00
847.80,1338.00
848.08,1346.00
848.36,1372.00
848.64,1344.00
848.92,1321.00
849.20,1272.00
849.48,1243.00
849.77,1283.00
850.05,1328.00
850.33,1346.00
850.61,1340.00
850.89,1321.00
851.17,1323.00
851.46,1346.00
851.74,1344.00
852.02,1334.00
852.30,1349.00
852.58,1330.00
852.86,1323.00
853.15,1309.00
853.43,1232.00
853.71,1148.00
853.99,1169.00
854.27,1220.00
854.55,1304.00
854.84,1300.00
855.12,1323.00
855.40,1332.00
855.68,1334.00
855.96,1338.00
856.24,1353.00
856.52,1353.00
856.81,1334.00
857.09,1351.00
857.37,1365.00
857.65,1342.00
857.93,1330.00
858.21,1342.00
858.50,1334.00
858.78,1347.00
859.06,1353.00
859.34,1330.00
859.62,1327.00
859.90,1336.00
860.19,1332.00
860.47,1336.00
860.75,1328.00
861.03,1340.00
861.31,1347.00
861.59,1340.00
861.88,1340.00
862.16,1370.00
862.44,1355.00
862.72,1349.00
863.00,1334.00
863.28,1340.00
863.57,1336.00
863.85,1351.00
864.13,1328.00
864.41,1313.00
864.69,1319.00
864.97,1304.00
865.25,1300.00
865.54,1232.00
865.82,1178.00
866.10,1235.00
866.38,1298.00
866.66,1330.00
866.94,1315.00
867.23,1309.00
867.51,1336.00
867.79,1334.00
868.07,1315.00
868.35,1306.00
868.63,1300.00
868.91,1313.00
869.20,1311.00
869.48,1319.00
869.76,1330.00
870.04,1327.00
870.32,1328.00
870.60,1298.00
870.88,1304.00
871.17,1327.00
871.45,1321.00
871.73,1344.00
872.01,1313.00
872.29,1334.00
872.57,1315.00
872.85,1327.00
873.14,1294.00
873.42,1298.00
873.70,1304.00
873.98,1319.00
874.26,1306.00
874.54,1308.00
874.82,1298.00
875.10,1308.00
875.39,1327.00
875.67,1317.00
875.95,1300.00
876.23,1309.00
876.51,1319.00
876.79,1311.00
877.07,1292.00
877.35,1328.00
877.64,1308.00
877.92,1309.00
878.20,1321.00
878.48,1298.00
878.76,1304.00
879.04,1317.00
879.32,1296.00
879.60,1306.00
879.89,1289.00
880.17,1260.00
880.45,1270.00
880.73,1290.00
881.01,1304.00
881.29,1302.00
881.57,1302.00
881.85,1292.00
882.13,1287.00
882.41,1300.00
882.70,1300.00
882.98,1309.00
883.26,1290.00
883.54,1302.00
883.82,1292.00
884.10,1294.00
884.38,1290.00
884.66,1294.00
884.94,1289.00
885.22,1272.00
885.50,1272.00
885.79,1253.00
886.07,1254.00
886.35,1262.00
886.63,1273.00
886.91,1270.00
887.19,1256.00
887.47,1292.00
887.75,1290.00
888.03,1270.00
888.31,1273.00
888.59,1272.00
888.87,1281.00
889.15,1262.00
889.44,1272.00
889.72,1266.00
890.00,1256.00
890.28,1247.00
890.56,1258.00
890.84,1253.00
891.12,1258.00
891.40,1247.00
891.68,1249.00
891.96,1247.00
892.24,1222.00
892.52,1234.00
892.80,1235.00
893.08,1237.00
893.36,1232.00
893.64,1220.00
893.92,1203.00
894.20,1209.00
894.48,1178.00
894.76,1180.00
895.04,1178.00
895.32,1178.00
895.60,1165.00
895.88,1146.00
896.16,1135.00
896.44,1120.00
896.72,1112.00
897.00,1116.00
897.28,1150.00
897.56,1137.00
897.84,1148.00
898.12,1087.00
898.40,1044.00
898.68,1042.00
898.96,1106.00
899.24,1125.00
899.52,1112.00
899.80,1078.00
900.08,1085.00
900.36,1087.00
900.64,1091.00
900.92,1080.00
901.20,1076.00
901.48,1091.00
901.76,1101.00
902.04,1093.00
902.32,1099.00
902.60,1146.00
902.88,1137.00
903.16,1175.00
903.44,1163.00
903.72,1163.00
904.00,1161.00
904.28,1178.00
904.56,1158.00
904.84,1175.00
905.12,1161.00
905.40,1125.00
905.68,1120.00
905.96,1108.00
906.24,1099.00
906.51,1082.00
906.79,1074.00
907.07,1072.00
907.35,1082.00
907.63,1070.00
907.91,1080.00
908.19,1053.00
908.47,1061.00
908.75,1044.00
909.03,1063.00
909.31,1061.00
909.58,1078.00
909.86,1070.00
910.14,1072.00
910.42,1070.00
910.70,1095.00
910.98,1118.00
911.26,1065.00
911.54,1087.00
911.82,1093.00
912.09,1095.00
912.37,1061.00
912.65,1027.00
912.93,1011.00
913.21,1023.00
913.49,1059.00
913.77,1084.00
914.04,1080.00
914.32,1076.00
914.60,1046.00
914.88,994.00
915.16,1006.00
915.44,1061.00
915.72,1068.00
915.99,1078.00
916.27,1076.00
916.55,1044.00
916.83,1032.00
917.11,1027.00
917.38,1032.00
917.66,1042.00
917.94,1066.00
918.22,1082.00
918.50,1103.00
918.78,1070.00
919.05,1087.00
919.33,1093.00
919.61,1101.00
919.89,1118.00
920.16,1095.00
920.44,1091.00
920.72,1078.00
921.00,1053.00
921.28,1055.00
921.55,1074.00
921.83,1076.00
922.11,1082.00
922.39,1057.00
922.66,1066.00
922.94,1053.00
923.22,1053.00
923.50,1044.00
923.77,1053.00
924.05,1061.00
924.33,1059.00
924.61,1036.00
924.88,1063.00
925.16,1057.00
925.44,1061.00
925.71,1049.00
925.99,1070.00
926.27,1074.00
926.55,1057.00
926.82,1053.00
927.10,1010.00
927.38,1000.00
927.65,975.00
927.93,975.00
928.21,981.00
928.48,987.00
928.76,958.00
929.04,970.00
929.31,928.00
929.59,916.00
929.87,930.00
930.14,903.00
930.42,898.00
930.70,894.00
930.97,873.00
931.25,842.00
931.53,822.00
931.80,825.00
932.08,833.00
932.35,820.00
932.63,827.00
932.91,795.00
933.18,784.00
933.46,778.00
933.73,768.00
934.01,786.00
934.29,806.00
934.56,820.00
934.84,816.00
935.11,799.00
935.39,808.00
935.67,806.00
935.94,820.00
936.22,808.00
936.49,795.00
936.77,801.00
937.04,818.00
937.32,797.00
937.59,803.00
937.87,822.00
938.15,854.00
938.42,879.00
938.70,896.00
938.97,911.00
939.25,909.00
939.52,898.00
939.80,877.00
940.07,892.00
940.35,861.00
940.62,860.00
940.90,860.00
941.17,875.00
941.45,863.00
941.72,865.00
942.00,848.00
942.27,810.00
942.54,822.00
942.82,825.00
943.09,852.00
943.37,827.00
943.64,799.00
943.92,799.00
944.19,837.00
944.47,858.00
944.74,854.00
945.01,820.00
945.29,812.00
945.56,810.00
945.84,825.00
946.11,823.00
946.38,837.00
946.66,848.00
946.93,844.00
947.21,831.00
947.48,829.00
947.75,829.00
948.03,841.00
948.30,839.00
948.57,858.00
948.85,833.00
949.12,795.00
949.40,795.00
949.67,814.00
949.94,825.00
950.22,848.00
950.49,871.00
950.76,886.00
951.03,844.00
951.31,816.00
951.58,803.00
951.85,799.00
952.13,804.00
952.40,827.00
952.67,837.00
952.95,856.00
953.22,833.00
953.49,825.00
953.76,833.00
954.04,818.00
954.31,808.00
954.58,831.00
954.85,812.00
955.13,818.00
955.40,810.00
955.67,827.00
955.94,827.00
956.22,803.00
956.49,808.00
956.76,842.00
957.03,841.00
957.30,848.00
957.58,841.00
957.85,833.00
958.12,823.00
958.39,816.00
958.66,803.00
958.93,806.00
959.21,816.00
959.48,827.00
959.75,841.00
960.02,831.00
960.29,831.00
960.56,835.00
960.83,850.00
961.11,846.00
961.38,852.00
961.65,825.00
961.92,829.00
962.19,825.00
962.46,844.00
962.73,850.00
963.00,848.00
963.27,848.00
963.54,831.00
963.81,829.00
964.08,841.00
964.36,844.00
964.63,839.00
964.90,858.00
965.17,848.00
965.44,842.00
965.71,816.00
965.98,844.00
966.25,854.00
966.52,852.00
966.79,863.00
967.06,877.00
967.33,873.00
967.60,877.00
967.87,861.00
968.14,869.00
968.41,875.00
968.68,865.00
968.95,879.00
969.21,884.00
969.48,865.00
969.75,867.00
970.02,877.00
970.29,884.00
970.56,882.00
970.83,860.00
971.10,877.00
971.37,867.00
971.64,871.00
971.91,861.00
972.17,875.00
972.44,856.00
972.71,865.00
972.98,858.00
973.25,835.00
973.52,833.00
973.79,850.00
974.05,844.00
974.32,848.00
974.59,863.00
974.86,831.00
975.13,831.00
975.40,842.00
975.66,841.00
975.93,846.00
976.20,842.00
976.47,848.00
976.73,842.00
977.00,861.00
977.27,846.00
977.54,837.00
977.81,852.00
978.07,839.00
978.34,850.00
978.61,842.00
978.87,835.00
979.14,846.00
979.41,856.00
979.68,839.00
979.94,844.00
980.21,852.00
980.48,854.00
980.74,860.00
981.01,841.00
981.28,861.00
981.54,861.00
981.81,852.00
982.08,842.00
982.34,846.00
982.61,863.00
982.87,848.00
983.14,846.00
983.41,867.00
983.67,854.00
983.94,842.00
984.20,852.00
984.47,863.00
984.74,856.00
985.00,841.00
985.27,844.00
985.53,854.00
985.80,846.00
986.06,844.00
986.33,850.00
986.59,856.00
986.86,844.00
987.12,837.00
987.39,858.00
987.65,846.00
987.92,841.00
988.18,854.00
988.45,844.00
988.71,846.00
988.98,842.00
989.24,835.00
989.51,839.00
989.77,854.00
990.04,854.00
990.30,856.00
990.56,844.00
990.83,848.00
991.09,842.00
991.36,848.00
991.62,837.00
991.88,846.00
992.15,839.00
992.41,829.00
992.68,835.00
992.94,839.00
993.20,839.00
993.47,827.00
993.73,829.00
993.99,833.00
994.26,846.00
994.52,833.00
994.78,850.00
995.05,827.00
995.31,837.00
995.57,827.00
995.83,833.00
996.10,841.00
996.36,837.00
996.62,835.00
996.88,816.00
997.15,827.00
997.41,827.00
997.67,835.00
997.93,818.00
998.19,820.00
998.46,825.00
998.72,833.00
998.98,827.00
999.24,822.00
999.50,833.00
999.77,820.00
1000.03,820.00
1000.29,827.00
1000.55,823.00
1000.81,835.00
1001.07,823.00
1001.33,820.00
1001.59,822.00
1001.86,812.00
1002.12,818.00
1002.38,816.00
1002.64,810.00
1002.90,814.00
1003.16,814.00
1003.42,818.00
1003.68,823.00
1003.94,810.00
1004.20,820.00
1004.46,808.00
1004.72,812.00
1004.98,801.00
1005.24,816.00
1005.50,806.00
1005.76,810.00
1006.02,803.00
1006.28,804.00
1006.54,804.00
1006.80,803.00
1007.06,801.00
1007.32,804.00
1007.58,812.00
1007.84,799.00
1008.09,808.00
1008.35,803.00
1008.61,804.00
1008.87,799.00
1009.13,804.00
1009.39,810.00
1009.65,801.00
1009.91,793.00
1010.16,806.00
1010.42,801.00
1010.68,795.00
1010.94,782.00
1011.20,787.00
1011.46,806.00
1011.71,795.00
1011.97,789.00
1012.23,789.00
1012.49,801.00
1012.74,795.00
1013.00,799.00
1013.26,795.00
1013.52,814.00
1013.77,803.00
1014.03,808.00
1014.29,784.00
1014.54,793.00
1014.80,782.00
1015.06,784.00
1015.31,780.00
1015.57,791.00
1015.83,787.00
1016.08,774.00
1016.34,789.00
1016.60,784.00
1016.85,786.00
1017.11,780.00
1017.37,782.00
1017.62,772.00
1017.88,787.00
1018.13,770.00
1018.39,776.00
1018.64,772.00
1018.90,784.00
1019.15,778.00
1019.41,774.00
1019.67,763.00
1019.92,778.00
1020.18,772.00
1020.43,768.00
1020.69,757.00
1020.94,767.00
1021.19,778.00
1021.45,770.00
1021.70,751.00
1021.96,774.00
1022.21,782.00
1022.47,772.00
1022.72,768.00
1022.98,759.00
1023.23,768.00
1023.48,763.00
1023.74,770.00
1023.99,768.00
1024.24,761.00
1024.50,755.00
1024.75,759.00
1025.00,757.00
1025.26,770.00
1025.51,770.00
1025.76,746.00
1026.02,753.00
1026.27,749.00
1026.52,761.00
1026.78,755.00
1027.03,763.00
1027.28,746.00
1027.53,746.00
1027.79,751.00
1028.04,751.00
1028.29,757.00
1028.54,759.00
1028.79,753.00
1029.05,742.00
1029.30,755.00
1029.55,746.00
1029.80,755.00
1030.05,742.00
1030.30,751.00
1030.55,748.00
1030.81,755.00
1031.06,759.00
1031.31,748.00
1031.56,746.00
1031.81,746.00
1032.06,742.00
1032.31,742.00
1032.56,738.00
1032.81,744.00
1033.06,736.00
1033.31,730.00
1033.56,746.00
1033.81,738.00
1034.06,734.00
1034.31,736.00
1034.56,723.00
1034.81,748.00
1035.06,736.00
1035.31,727.00
1035.56,753.00
1035.81,729.00
1036.06,732.00
1036.31,732.00
1036.56,742.00
1036.81,730.00
1037.05,736.00
1037.30,729.00
1037.55,730.00
1037.80,732.00
1038.05,734.00
1038.30,734.00
1038.54,730.00
1038.79,727.00
1039.04,734.00
1039.29,727.00
1039.54,729.00
1039.78,721.00
1040.03,715.00
1040.28,719.00
1040.53,721.00
1040.77,729.00
1041.02,719.00
1041.27,721.00
1041.52,719.00
1041.76,727.00
1042.01,725.00
1042.26,723.00
1042.50,721.00
1042.75,713.00
1042.99,717.00
1043.24,729.00
1043.49,725.00
1043.73,734.00
1043.98,708.00
1044.23,711.00
1044.47,713.00
1044.72,715.00
1044.96,723.00
1045.21,717.00
1045.45,713.00
1045.70,708.00
1045.94,710.00
1046.19,711.00
1046.43,719.00
1046.68,696.00
1046.92,713.00
1047.17,706.00
1047.41,708.00
1047.66,715.00
1047.90,711.00
1048.14,713.00
1048.39,704.00
1048.63,696.00
1048.88,715.00
1049.12,713.00
1049.36,702.00
1049.61,706.00
1049.85,698.00
1050.09,700.00
1050.34,694.00
1050.58,700.00
1050.82,696.00
1051.07,702.00
1051.31,700.00
1051.55,704.00
1051.79,692.00
1052.04,696.00
1052.28,692.00
1052.52,702.00
1052.76,694.00
1053.01,704.00
1053.25,691.00
1053.49,687.00
1053.73,700.00
1053.97,708.00
1054.21,715.00
1054.46,689.00
1054.70,696.00
1054.94,694.00
1055.18,698.00
1055.42,694.00
1055.66,710.00
1055.90,694.00
1056.14,694.00
1056.38,687.00
1056.62,696.00
1056.86,698.00
1057.10,681.00
1057.34,694.00
1057.58,696.00
1057.82,689.00
1058.06,691.00
1058.30,687.00
1058.54,681.00
1058.78,692.00
1059.02,679.00
1059.26,681.00
1059.50,696.00
1059.74,694.00
1059.98,687.00
1060.22,694.00
1060.46,689.00
1060.69,687.00
1060.93,691.00
1061.17,694.00
1061.41,691.00
1061.65,685.00
1061.88,691.00
1062.12,681.00
1062.36,685.00
1062.60,683.00
1062.84,687.00
1063.07,692.00
1063.31,687.00
1063.55,681.00
1063.78,698.00
1064.02,679.00
1064.26,691.00
1064.49,683.00
1064.73,685.00
1064.97,672.00
1065.20,681.00
1065.44,691.00
1065.68,679.00
1065.91,679.00
1066.15,672.00
1066.38,673.00
1066.62,675.00
1066.86,681.00
1067.09,679.00
1067.33,689.00
1067.56,672.00
1067.80,679.00
